size,width,length,room,area,ward,toilet,floor,house type,street,price
44.0,3.5,12.0,2.0,102,9466.0,2.0,1.0,3.0,501,3750000000
44.8,3.2,14.0,2.0,104,9256.0,2.0,1.0,3.0,1822,890000000
50.0,4.4,10.6,3.0,113,9317.0,2.0,2.0,3.0,402,3000000000
28.5,3.0,9.5,2.0,110,9269.0,2.0,2.0,3.0,1056,3380000000
58.0,5.0,13.0,1.0,108,9462.0,1.0,1.0,3.0,728,3250000000
44.0,4.0,11.0,2.0,106,9387.0,2.0,1.0,3.0,390,1645000000
55.0,4.0,14.0,4.0,110,9276.0,4.0,3.0,3.0,1081,6780000000
50.0,4.0,13.0,2.0,107,9231.0,2.0,2.0,3.0,878,3200000000
56.0,4.48,13.29,4.0,104,9262.0,4.0,4.0,1.0,400,5700000000
72.0,4.0,18.0,4.0,113,9314.0,4.0,3.0,3.0,402,8700000000
19.0,3.1,6.5,2.0,107,9233.0,1.0,1.0,3.0,413,1165000000
60.0,4.0,15.0,3.0,107,9227.0,2.0,1.0,3.0,334,3150000000
68.0,4.0,16.0,4.0,108,9457.0,5.0,4.0,3.0,716,6100000000
24.0,3.5,7.5,2.0,99,9400.0,3.0,3.0,3.0,1634,2100000000
35.0,4.0,9.0,2.0,111,9334.0,4.0,3.0,3.0,771,6100000000
48.0,4.0,12.0,4.0,101,9439.0,4.0,1.0,1.0,315,7300000000
58.0,4.0,14.5,2.0,104,9260.0,2.0,3.0,3.0,1457,4800000000
63.0,5.1,12.0,2.0,113,9315.0,2.0,2.0,3.0,1623,4200000000
80.0,5.0,16.0,3.0,115,9524.0,2.0,1.0,1.0,540,1830000000
72.0,4.5,16.0,6.0,107,9228.0,7.0,3.0,1.0,511,4800000000
32.0,3.2,10.0,3.0,100,9413.0,3.0,3.0,3.0,919,6300000000
50.0,5.0,10.0,2.0,104,9252.0,2.0,1.0,3.0,331,920000000
80.0,6.0,14.0,4.0,109,9279.0,3.0,2.0,3.0,965,7000000000
84.0,6.0,14.0,4.0,109,9283.0,4.0,3.0,4.0,283,9900000000
48.0,4.0,12.0,2.0,102,9472.0,2.0,3.0,3.0,501,3400000000
56.0,4.0,14.0,2.0,115,9523.0,2.0,1.0,1.0,1745,1080000000
44.0,4.0,11.0,2.0,101,9435.0,2.0,1.0,3.0,211,1960000000
149.5,6.5,23.0,2.0,109,9296.0,3.0,2.0,3.0,1662,10000000000
158.0,7.0,22.0,2.0,103,9451.0,1.0,3.0,3.0,446,5500000000
64.5,4.5,14.6,3.0,107,9236.0,2.0,2.0,3.0,946,2900000000
34.0,3.3,10.0,2.0,114,9240.0,2.0,2.0,3.0,131,3200000000
60.0,4.0,15.0,5.0,114,9249.0,5.0,3.0,3.0,560,7800000000
21.0,3.16,7.0,2.0,108,9457.0,2.0,1.0,3.0,1150,1669000000
34.0,4.5,8.0,2.0,108,9459.0,2.0,1.0,3.0,172,1730000000
40.0,3.5,10.2,4.0,110,9267.0,3.0,3.0,3.0,734,4200000000
54.0,4.86,11.8,4.0,111,9329.0,5.0,4.0,3.0,1019,6400000000
30.0,3.0,10.0,3.0,99,9400.0,3.0,4.0,3.0,1754,2900000000
21.3,3.5200000000000005,6.2,2.0,103,9450.0,2.0,1.0,3.0,226,2490000000
28.0,3.5,8.0,2.0,101,9436.0,2.0,1.0,3.0,735,2800000000
63.0,4.0,16.0,2.0,113,9319.0,2.0,2.0,3.0,713,5900000000
53.0,4.2,13.0,4.0,107,9227.0,5.0,4.0,3.0,1095,5200000000
48.0,4.0,12.0,6.0,110,9275.0,6.0,4.0,3.0,1056,6000000000
60.0,4.040000000000001,13.2,2.0,110,9269.0,2.0,2.0,3.0,1056,4550000000
36.0,4.0,9.0,2.0,107,9233.0,2.0,1.0,1.0,1605,1850000000
104.0,6.0,18.0,4.0,104,9262.0,4.0,2.0,2.0,625,14879000000
80.0,4.0,20.0,4.0,113,9323.0,3.0,3.0,1.0,520,9400000000
78.0,5.08,16.282000000000004,2.0,104,9255.0,1.0,1.0,3.0,1450,4490000000
60.0,4.0,15.0,3.0,108,9460.0,2.0,2.0,3.0,541,5250000000
32.4,4.0,8.1,2.0,107,9227.0,2.0,1.0,3.0,1350,1890000000
102.8,4.0,25.7,3.0,107,9233.0,4.0,4.0,1.0,1605,8700000000
45.0,3.86,11.8,2.0,110,9268.0,2.0,1.0,3.0,1006,3750000000
59.0,4.0,14.7,3.0,108,9457.0,2.0,2.0,3.0,778,4900000000
68.0,4.0,17.0,4.0,108,9465.0,4.0,3.0,1.0,1028,7000000000
52.0,4.0,13.0,4.0,110,9263.0,4.0,4.0,3.0,1360,5300000000
46.2,4.2,11.0,2.0,106,9387.0,2.0,1.0,3.0,390,1820000000
90.0,4.2,22.0,6.0,105,9367.0,3.0,4.0,3.0,319,14000000000
70.3,4.5,15.6,5.0,113,9324.0,4.0,2.0,3.0,751,6600000000
52.0,4.0,13.0,4.0,108,9457.0,6.0,5.0,1.0,716,6450000000
54.0,4.0,14.0,2.0,117,9508.0,2.0,2.0,3.0,1095,4000000000
32.4,3.38,9.7,2.0,106,9387.0,2.0,1.0,1.0,1300,5000000000
52.4,4.0,14.1,3.0,113,9315.0,3.0,3.0,1.0,1623,7300000000
57.0,4.7,12.0,4.0,102,9472.0,5.0,3.0,3.0,1031,5450000000
64.8,4.0,16.2,3.0,101,9428.0,2.0,1.0,3.0,674,2080000000
52.0,3.6,17.0,3.0,112,9299.0,3.0,2.0,3.0,868,4700000000
64.0,4.0,16.0,2.0,117,9503.0,1.0,1.0,3.0,929,530000000
72.0,4.0,18.0,5.0,101,9439.0,5.0,4.0,1.0,1513,12100000000
43.0,4.5,9.7,2.0,112,9309.0,2.0,1.0,3.0,248,4300000000
52.0,4.0,13.0,2.0,117,9500.0,1.0,1.0,3.0,1798,1380000000
55.0,5.0,11.0,4.0,102,9475.0,3.0,3.0,3.0,501,4900000000
48.2,4.0,12.05,3.0,103,9450.0,2.0,1.0,3.0,1640,1823000000
36.0,3.0,12.0,3.0,108,9457.0,3.0,2.0,1.0,217,4400000000
58.0,4.4,13.1,4.0,111,9330.0,4.0,4.0,3.0,1019,6800000000
64.0,4.0,16.0,2.0,108,9458.0,1.0,2.0,3.0,1150,3299000000
88.0,4.5,19.6,4.0,115,9523.0,2.0,2.0,1.0,1746,930000000
56.0,4.232,13.142,4.0,110,9277.0,4.0,4.0,3.0,1081,6400000000
40.0,4.0,10.0,2.0,107,9227.0,2.0,1.0,3.0,1343,1850000000
54.0,4.0,13.5,3.0,108,9458.0,4.0,3.0,3.0,1456,6200000000
80.0,4.0,20.0,3.0,107,9231.0,3.0,3.0,3.0,236,4700000000
42.0,3.5,12.0,2.0,108,9459.0,1.0,1.0,3.0,1584,1560000000
71.0,4.5,15.7,5.0,112,9306.0,5.0,5.0,1.0,1789,10800000000
80.0,5.0,16.0,4.0,108,9462.0,4.0,3.0,1.0,1211,8300000000
65.0,4.1,14.2,4.0,108,9461.0,4.0,3.0,3.0,581,5800000000
65.0,5.0,13.0,3.0,98,9358.0,3.0,2.0,1.0,602,3200000000
40.0,4.0,10.0,4.0,108,9460.0,6.0,5.0,3.0,719,5200000000
68.0,4.16,16.56,2.0,111,9339.0,2.0,1.0,3.0,722,6600000000
55.0,5.9,10.0,3.0,107,9232.0,2.0,2.0,3.0,149,2450000000
60.0,5.0,12.0,2.0,103,9452.0,2.0,1.0,3.0,1050,1150000000
36.0,4.0,9.0,2.0,110,9277.0,2.0,2.0,3.0,1081,2950000000
75.0,5.0,15.0,4.0,113,9323.0,5.0,4.0,1.0,1626,7000000000
48.0,6.0,8.0,4.0,110,9278.0,4.0,3.0,3.0,843,7680000000
74.0,4.0,19.0,3.0,102,9473.0,3.0,4.0,3.0,899,7200000000
62.0,4.4,16.0,4.0,110,9277.0,5.0,4.0,4.0,1123,7500000000
75.0,4.5,18.0,5.0,113,9323.0,4.0,3.0,1.0,1626,9300000000
72.0,5.0,15.0,2.0,102,9472.0,2.0,2.0,1.0,947,8700000000
50.0,5.0,10.0,4.0,102,9475.0,3.0,3.0,3.0,1030,4900000000
44.0,4.04,10.66,3.0,112,9310.0,2.0,2.0,3.0,1297,7200000000
132.0,6.87,19.2,6.0,107,9233.0,2.0,2.0,1.0,1605,6800000000
64.0,4.0,16.0,3.0,108,9457.0,3.0,3.0,3.0,541,5500000000
52.0,4.0,13.0,3.0,102,9469.0,2.0,2.0,1.0,1519,3900000000
63.0,5.0,12.5,2.0,104,9260.0,3.0,2.0,4.0,1675,3850000000
70.0,5.0,14.0,4.0,102,9473.0,4.0,4.0,1.0,899,7500000000
65.0,4.0,17.0,1.0,108,9456.0,1.0,1.0,3.0,1190,5300000000
40.0,3.3,15.0,3.0,110,9270.0,3.0,3.0,4.0,1081,4850000000
49.5,4.5,11.0,2.0,103,9450.0,1.0,1.0,3.0,219,1530000000
48.0,4.0,12.0,2.0,101,9434.0,2.0,1.0,3.0,1063,1890000000
107.0,6.0,17.0,4.0,108,9457.0,3.0,2.0,3.0,404,7500000000
80.0,5.0,16.0,2.0,117,9508.0,2.0,1.0,3.0,1011,680000000
49.0,3.5,12.5,4.0,101,9437.0,5.0,2.0,3.0,1047,2670000000
